Path,Plant,Size (MW),Bid_ID,CRR_ID,OriginalCRR_ID,AccountHolder,HedgeType,Portfolio,BidType,CRRType,Source,Sink,StartDate,EndDate,TimeOfUse,Bid24Hour,MW,ShadowPricePerMWH,BidMW,BidPricePerMWH,ACI99,ACP,CreditConsumed
TXCTY_ST+HB_HOUSTON,Texas City,131.5,82991928,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,TXCTY_ST,HB_HOUSTON,01/01/2019,01/31/2019,PeakWE,No,0.0,0.249236,28.2,0.01,,,
TXCTY_CTC+HB_HOUSTON,Texas City,100.6,82991926,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,TXCTY_CTC,HB_HOUSTON,01/01/2019,01/31/2019,PeakWE,No,0.0,0.249236,21.4,0.01,,,
TXCTY_CTB+HB_HOUSTON,Texas City,100.6,82991923,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,TXCTY_CTB,HB_HOUSTON,01/01/2019,01/31/2019,PeakWE,No,0.0,0.249236,21.4,0.02,,,
TXCTY_CTA+HB_HOUSTON,Texas City,100.6,82991922,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,TXCTY_CTA,HB_HOUSTON,01/01/2019,01/31/2019,PeakWE,No,0.0,0.249236,21.4,0.01,,,
PSG_PSG_ST1+HB_HOUSTON,Pasadena2,185,82991920,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,PSG_PSG_ST1,HB_HOUSTON,01/01/2019,01/31/2019,PeakWE,No,0.0,0.09,25.0,0.03,,,
PSG_PSG_GT3+HB_HOUSTON,Pasadena2,185,82991917,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,PSG_PSG_GT3,HB_HOUSTON,01/01/2019,01/31/2019,PeakWE,No,0.0,0.09,25.0,0.03,,,
PSG_PSG_GT2+HB_HOUSTON,Pasadena2,185,82991914,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,PSG_PSG_GT2,HB_HOUSTON,01/01/2019,01/31/2019,PeakWE,No,0.0,0.09,25.0,0.03,,,
NED_NEDIN_G3+HB_SOUTH,Magic Valley,255.5,82991981,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,NED_NEDIN_G3,HB_SOUTH,01/01/2019,01/31/2019,PeakWE,No,0.0,0.406494,12.6,0.25,,,
NED_NEDIN_G2+HB_SOUTH,Magic Valley,213.6,82991972,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,NED_NEDIN_G2,HB_SOUTH,01/01/2019,01/31/2019,PeakWE,No,0.0,0.406494,12.6,0.27,,,
NED_NEDIN_G1+HB_SOUTH,Magic Valley,213.6,82991965,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,NED_NEDIN_G1,HB_SOUTH,01/01/2019,01/31/2019,PeakWE,No,0.0,0.406494,12.6,0.25,,,
FREC_2_CCU+HB_NORTH,Freestone2,491,82992006,,,XCALPP,OPT,ERCOT CRR Bid Submission 2019_01_Hedging_V6,BUY,PREAWARD,FREC_2_CCU,HB_NORTH,01/01/2019,01/31/2019,PeakWE,No,0.0,1.314359,16.4,0.21,,,
